근무 지역,학력,기업 규모,회사명,공고 제목,접수 마감일,담당업무,근무 일시,채용인원,공고 사이트 주소,회사 홈페이지,회사 주소,대표자명,설립일(연차),사원 수,매출액,업종,사업 내용
서울 금천구,초대졸 이상,중소기업,펨트론,SW 그룹 AOI팀 AOI-3파트(SW),2024.01.29(월),응용프로그래머/소프트웨어 개발자,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47370828&view_type=search,https://www.pemtron.com/,서울 금천구 가산디지털1로 219,유영웅,2002년 01월 15일(23년차),206명,609억,그 외 기타 특수목적용 기계 제조업,"납도포 검사장비(3D SPI), 3차원 장착 검사 장비(3D AOI, MOI), Wafer Bump 3D 검사장비, Wire Bonding 3D 검사장비, 이차전지 리드탭 공정/검사장비를 개발 및 공급"
서울 구로구,학력 무관,중소기업,포딕스시스템,응용 소프트웨어 개발자(MFC/C++) 모집,2024.02.15(목),MFC/C++ 응용소프트웨어(WINDOW/LINUX) 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47382344&view_type=search,http://www.fodics.com/,서울 구로구 디지털로31길 38-9,정재호,2011년 02월 09일(14년차),53명,237억,기타 반도체소자 제조업,"자체 기술력인 영상 데이터 관리에 효율적인 분산 저장 알고리즘을 통해 처리속도를 향상 시키며 영상 딥러닝을 통해 사람, 차량, 얼굴등의 객체 및 환경과 행동 분석을 통해 안전한 환경및 공간 제공"
서울 강남구,초대졸 이상,중소기업,포인트아이,이동통신 사업자 ICT 시스템 개발,2024.02.29(목),이동통신 사업자 ICT 시스템 개발,주 5일,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47289583&view_type=search,https://www.pointi.com/,서울 강남구 언주로148길 19,이봉문,2018년 07월 04일(7년차),47명,69억,응용 소프트웨어 개발 및 공급업,이동통신서비스에 활용되는 코어 기술을 공급
경기도 용인,학력 무관,중소기업,피앤에이,전기차 충전기 S/W 개발자모집,2024.02.08(목),전기차 충전기 S/W 개발,주 5일,1명,https://www.jobkorea.co.kr/Recruit/GI_Read/43740274?rPageCode=SL&logpath=21,http://pnanp.com/,경기 용인시 기흥구 기흥로 58 ,김현철,2019년 07월 08일(6년차),5명,6억,산업용 로봇 제조업,"산업용 전기,전자제품 제조업, 가정용 전기, 전자제품 제조업, 전기, 전자제품 연구개발"
경기도 고양,학력 무관,중소기업,피케이솔루션,POS/KIOSk 유지보수 신입 및 경력자 모집합니다,2024.02.14(수),POS/KIOSK 소프트웨어 설치/유지보수,주 5일,1명,https://www.jobkorea.co.kr/Recruit/GI_Read/43777813?rPageCode=SL&logpath=21,http://pksolution.kr/,경기 고양시 덕양구 삼원로 73,전은준,2020년 09월 21일(5년차),4명,3억,사무용 가구 및 기기 도매업,"카드단말기,전자상거래"
경기도 평택,대졸 이상,중소기업,픽셀,2024 상반기 신입/경력 사원 채용 [제어 S/W개발],2024.03.11(월),검사 S/W 개발,주 5일,3명,https://www.jobkorea.co.kr/Recruit/GI_Read/43754875?rPageCode=SL&logpath=21,pixel-global.com,경기 평택시 진위면 진위2산단로 31-13,최효훈,2016년 01월 05일(9년차),25명,61억,전기·전자·제어,검사장비 제조
서울 강남구,학력 무관,중소기업,하이퍼정보,RPA(업무자동화) 스크립트 신입 개발자 모십니다,상시 채용,RPA(업무자동화) 스크립트 개발,주 5일,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44201937&view_type=search,http://www.hyperinfo.co.kr/,서울 강남구 논현로 34,노인선,2017년 11월 28일(8년차),40명,45억,컴퓨터시설 관리업,"인공지능을 활용한 국내 유일의 RPA Solution인 삼성SDS Brity RPA를 통한 자동화로 기업의 비용 절감, 생산성 증가 및 효율성 향상으로 금융, 공공, 제조, 서비스등 다양한 산업 분야에 Solution을 구축, 유지"
경기도 성남,초대졸 이상,중소기업,한국선불카드,서비스 개발 및 운영 신입,2024.02.29(목),서비스 개발 및 운영/기타 내부 프로젝트 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43746430?rPageCode=SL&logpath=21,www.kpcard.co.kr/,경기 성남시 분당구 판교로 255,최병호,2011년 07월 02일(14년차),50명,273억,"솔루션,SI,CRM,ERP",소프트웨어
서울 마포구,초대졸 이상,코스닥 상장 기업,한네트,한네트 개발팀 모집공고,2024.02.08(목),UNIX Sever AP 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47330636&view_type=list,http://www.hannet.net/,서울 마포구 독막로 281,김선종,1997년 04월 15일(28년차),81명,219억,전기 통신업,"부가통신 서비스, ASP 멀티컨택센터 및 관련 서비스"
경기도 의왕,학력 무관,벤처기업,한드림넷,(신입/경력) 네트워크 프로그래머/보안 프로그래머 채용,2024.02.02(금),네트워크/보안 프로그래머,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43470532?rPageCode=SL&logpath=21,https://www.handream.net/main,서울 구로구 디지털로30길 28,서현원,2000년 03월 23일(25년차),93명,278억 ,네트워크·통신서비스,네트워크보안시스템 및 네트워크 트래픽 관리제품 개발 및 제조 판매
인천 전지역,초대졸 이상,코스닥 상장 기업,한일진공,장비 시스템 소프트웨어 개발,상시 채용,Windows기반응용프로그램 개발|C/C++/Python/JAVA/GUI개발,주 5일,1명,https://www.jobkorea.co.kr/Recruit/GI_Read/43774869?Oem_Code=C1&PageGbn=ST,http://www.hivc.co.kr,인천 남동구 남동동로183번길 30,이청균/김지훈,1988년 05월 20일(37년차),105명,157억,기계 기계설비,PVD 진공코팅/증착장비 제조/수출
경기도 평택,학력 무관,중소기업,휴비오,검사장비 소프트웨어(C#/C++) 개발자 모집,2024.01.21(일),검사장비 S/W개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43623862?rPageCode=SL&logpath=21,https://smt-sts.com/,경기 평택시 진위면 마산9로 100 ,이준호,2016년 11월 14일(9년차),22명,137억,디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
